Date,Open,High,Low,Close,Adj Close,Volume
2018-06-13,20.540001,20.799999,20.52,20.700001,20.700001,2793199
2018-06-14,20.629999,21.58,20.5,21.32,21.32,4181177
2018-06-15,21.530001,21.75,21.129999,21.129999,21.129999,7860628
2018-06-18,21.08,21.43,21.02,21.379999,21.379999,3671958
2018-06-19,20.969999,21.09,20.57,21.059999,21.059999,3128314
2018-06-20,21.190001,21.190001,20.799999,20.959999,20.959999,2288987
2018-06-21,20.83,20.860001,20.209999,20.370001,20.370001,5201046
2018-06-22,20.370001,20.66,20.23,20.450001,20.450001,2418796
2018-06-25,20.35,20.35,20.02,20.129999,20.129999,1600725
2018-06-26,20.25,20.389999,20.040001,20.290001,20.290001,2719920
2018-06-27,20.389999,20.389999,19.91,20.18,20.18,2551871
2018-06-28,20.1,20.139999,19.23,19.405001,19.405001,4213586
2018-06-29,19.6,19.93,19.555,19.559999,19.559999,3652616
2018-07-02,19.42,19.645,19.15,19.51,19.51,2674114
2018-07-03,19.764999,20.120001,19.58,20.030001,20.030001,4461065
2018-07-05,20.139999,20.83,20.139999,20.74,20.74,3749084
2018-07-06,20.93,21.08,20.35,20.65,20.65,2664046
2018-07-09,20.75,21.08,20.639999,20.84,20.84,2621736
2018-07-10,20.950001,21.290001,20.82,21.219999,21.219999,2621281
2018-07-11,21.040001,21.110001,20.76,21.01,21.01,2652285
2018-07-12,21.120001,21.35,20.76,20.969999,20.969999,2437983
2018-07-13,21.110001,21.15,20.82,21.049999,21.049999,2003209
2018-07-16,21.0,21.139999,20.790001,20.950001,20.950001,2504452
2018-07-17,20.93,21.0,20.74,20.969999,20.969999,2212915
2018-07-18,21.040001,21.43,21.040001,21.209999,21.209999,3079402
2018-07-19,21.200001,21.379999,21.129999,21.18,21.18,2807869
2018-07-20,21.200001,21.200001,20.379999,20.67,20.67,4946113
2018-07-23,20.65,20.700001,20.139999,20.43,20.43,3282901
2018-07-24,22.82,23.469999,22.25,23.469999,23.469999,12296339
2018-07-25,23.459999,24.059999,23.440001,23.74,23.74,6888164
2018-07-26,24.0,24.389999,23.870001,24.18,24.18,5713168
2018-07-27,24.15,24.379999,23.799999,24.02,24.02,4067274
2018-07-30,23.99,24.59,23.84,24.540001,24.540001,3325368
2018-07-31,24.299999,24.77,24.27,24.610001,24.610001,3926457
